word	id	frequency
kind	272	462
anything	273	459
each	274	458
thought	275	458
wanted	276	458
same	277	457
perfect	278	456
rice	279	456
full	280	455
why	281	453
look	282	452
house	283	450
maybe	284	447
usually	285	447
sushi	286	445
top	287	442
cream	288	437
large	289	432
dish	290	430
cool	291	428
town	292	427
however	293	425
review	294	420
beef	295	418
let	296	417
away	297	417
outside	298	416
fried	299	416
fun	300	412
items	301	409
without	302	409
oh	303	408
used	304	407
far	305	406
told	306	405
spot	307	402
parking	308	400
else	309	396
inside	310	394
half	311	394
loved	312	391
left	313	390
open	314	390
having	315	390
everyone	316	389
enjoy	317	389
decided	318	386
served	319	386
family	320	385
getting	321	384
ask	322	383
high	323	382
least	324	381
three	325	380
pork	326	379
spicy	327	373
patio	328	373
hard	329	373
may	330	370
soup	331	369
decent	332	366
through	333	366
red	334	365
dishes	335	361
enjoyed	336	360
busy	337	358
put	338	357
overall	339	356
music	340	356
plate	341	354
couple	342	353
water	343	353
makes	344	352
won	345	351
husband	346	347
ice	347	346
eating	348	345
course	349	344
chips	350	344
fantastic	351	343
close	352	343
whole	353	342
almost	354	340
wonderful	355	339
star	356	339
restaurants	357	338
mexican	358	337
such	359	335
fast	360	333
yes	361	333
part	362	329
live	363	329
fan	364	328
green	365	328
kids	366	327
does	367	326
chocolate	368	323
own	369	322
isn	370	322
during	371	322
dining	372	322
shop	373	321
hours	374	321
tables	375	319
care	376	319
guy	377	316
week	378	315
reviews	379	315
several	380	314
local	381	314
tacos	382	314
fish	383	314
someone	384	314
tasted	385	313
stuff	386	313
liked	387	313
valley	388	313
either	389	312
especially	390	312
customer	391	311
less	392	311
waitress	393	311
6	394	311
shrimp	395	310
doesn	396	309
looked	397	309
steak	398	308
style	399	307
done	400	305
must	401	303
business	402	303
him	403	303
door	404	303
yet	405	301
20	406	301
finally	407	301
coming	408	300
quick	409	300
sit	410	298
use	411	298
drive	412	297
end	413	297
although	414	296
might	415	295
stop	416	294
year	417	293
real	418	289
salsa	419	288
name	420	288
myself	421	288
disappointed	422	287
bring	423	286
line	424	286
cheap	425	285
started	426	283
tell	427	281
thai	428	281
trying	429	281
cooked	430	279
yummy	431	279
street	432	279
fact	433	278
dessert	434	278
front	435	275
waiting	436	273
often	437	273
money	438	273
seems	439	272
keep	440	271
decor	441	271
today	442	270
gave	443	269
comes	444	269
call	445	268
until	446	268
walk	447	268
bacon	448	268
seemed	449	267
30	450	267
pay	451	266
tea	452	266
yelp	453	265
felt	454	264
deal	455	264
white	456	262
person	457	259
helpful	458	259
extra	459	259
kitchen	460	258
wife	461	258
walked	462	258
called	463	257
waiter	464	257
glass	465	256
instead	466	255
lots	467	255
wrong	468	254
able	469	253
couldn	470	253
brought	471	252
okay	472	252
second	473	252
sat	474	250
group	475	249
bbq	476	248
guess	477	248
plus	478	247
owner	479	246
offer	480	245
needed	481	243
wish	482	243
etc	483	242
regular	484	242
fine	485	241
options	486	240
absolutely	487	238
7	488	238
beans	489	237
light	490	237
saw	491	237
highly	492	237
dog	493	237
reason	494	236
return	495	235
start	496	234
seem	497	233
serve	498	232
buy	499	231
expect	500	231
morning	501	231
point	502	231
help	503	231
mind	504	230
ago	505	229
stay	506	229
arizona	507	229
seen	508	228
potato	509	228
15	510	228
saturday	511	227
job	512	227
flavors	513	227
size	514	225
four	515	225
wouldn	516	225
hotel	517	225
choice	518	225
8	519	224
seating	520	223
impressed	521	222
gets	522	222
bowl	523	221
appetizer	524	221
roll	525	221
later	526	220
ate	527	220
warm	528	220
type	529	219
arrived	530	218
pick	531	218
pool	532	218
50	533	217
easy	534	217
looks	535	216
grilled	536	215
car	537	215
list	538	214
mall	539	214
making	540	214
tempe	541	213
beautiful	542	213
priced	543	211
perfectly	544	210
burrito	545	210
sandwiches	546	210
party	547	209
between	548	209
rolls	549	209
portions	550	209
dry	551	209
add	552	208
game	553	208
chinese	554	207
potatoes	555	205
trip	556	205
late	557	205
wings	558	205
run	559	205
cute	560	204
early	561	203
haven	562	202
attentive	563	202
past	564	201
anyone	565	201
ingredients	566	200
days	567	200
quickly	568	200
choose	569	199
friday	570	199
ended	571	199
average	572	198
variety	573	198
cold	574	198
leave	575	198
packed	576	197
burgers	577	197
extremely	578	196
remember	579	196
guys	580	196
counter	581	195
seriously	582	195
manager	583	195
twice	584	195
plenty	585	195
reasonable	586	195
hit	587	195
seated	588	194
sitting	589	194
problem	590	194
park	591	194
date	592	193
french	593	193
customers	594	192
cake	595	192
amount	596	191
cut	597	190
soon	598	190
butter	599	190
egg	600	190
bite	601	190
across	602	188
man	603	186
short	604	185
under	605	185
show	606	185
believe	607	184
sometimes	608	184
sunday	609	184
chef	610	184
shopping	611	183
five	612	183
near	613	182
watch	614	182
az	615	182
crust	616	182
along	617	182
working	618	182
unique	619	181
heard	620	181
weekend	621	180
waited	622	180
bill	623	180
slow	624	180
mom	625	179
comfortable	626	179
eaten	627	179
rather	628	178
downtown	629	177
set	630	176
neighborhood	631	176
tip	632	175
mean	633	175
employees	634	175
garlic	635	175
9	636	174
others	637	174
anyway	638	174
main	639	174
0	640	173
surprised	641	173
w	642	172
eggs	643	171
beers	644	171
girl	645	170
tomato	646	170
hand	647	169
pasta	648	169
crowd	649	169
wow	650	169
evening	651	169
already	652	169
12	653	168
onion	654	168
ready	655	168
life	656	167
corn	657	167
please	658	167
italian	659	167
loud	660	165
school	661	164
walking	662	164
behind	663	164
ones	664	164
glad	665	164
taco	666	163
simple	667	163
expensive	668	163
head	669	162
ambiance	670	162
stopped	671	162
knew	672	162
totally	673	162
given	674	162
market	675	161
space	676	161
doing	677	160
authentic	678	160
taking	679	160
crispy	680	160
specials	681	159
entire	682	158
salads	683	158
available	684	157
offered	685	157
read	686	156
sausage	687	156
servers	688	156
thanks	689	156
portion	690	156
hope	691	155
itself	692	155
hands	693	155
flavorful	694	154
yourself	695	154
feeling	696	154
world	697	153
ordering	698	153
expected	699	153
gone	700	153
black	701	152
appetizers	702	152
plates	703	152
chain	704	151
card	705	150
cost	706	150
completely	707	150
sort	708	149
moved	709	149
pho	710	149
cup	711	149
kept	712	149
hair	713	149
thank	714	148
toppings	715	148
unfortunately	716	147
choices	717	147
yum	718	147
opened	719	147
rest	720	146
joint	721	146
spend	722	146
change	723	146
dark	724	146
months	725	145
miss	726	145
located	727	145
club	728	145
aren	729	145
mac	730	145
wall	731	144
entrees	732	144
recently	733	144
idea	734	144
cafe	735	144
birthday	736	143
bucks	737	143
typical	738	143
interesting	739	142
center	740	142
onions	741	142
including	742	141
mouth	743	141
grill	744	140
asian	745	140
curry	746	140
tastes	747	140
grab	748	140
pieces	749	140
bland	750	140
needs	751	140
bottle	752	139
together	753	139
bartender	754	139
exactly	755	139
kinda	756	139
meals	757	139
play	758	139
non	759	139
lettuce	760	139
empty	761	139
hungry	762	138
weren	763	137
blue	764	137
office	765	137
yeah	766	137
toast	767	137
low	768	137
saying	769	136
foods	770	136
crowded	771	136
note	772	136
charge	773	135
summer	774	135
spring	775	134
excited	776	134
unless	777	134
stand	778	134
truly	779	134
outdoor	780	133
recommended	781	133
event	782	131
noodles	783	131
understand	784	131
pie	785	131
pricey	786	131
afternoon	787	130
salmon	788	129
tiny	789	129
mixed	790	129
longer	791	129
based	792	129
talk	793	128
veggies	794	128
hate	795	128
crab	796	128
chance	797	128
desert	798	128
soft	799	128
stores	800	127
company	801	127
strip	802	127
chili	803	127
dressing	804	127
tasting	805	127
sorry	806	127
tender	807	127
oil	808	126
noticed	809	126
frozen	810	126
filled	811	126
pleasant	812	126
cannot	813	126
anywhere	814	126
giving	815	126
movie	816	126
greasy	817	125
tv	818	125
TRUE	819	125
sides	820	125
homemade	821	125
casual	822	125
closed	823	125
single	824	125
veggie	825	124
dip	826	124
entree	827	124
number	828	124
phone	829	124
n	830	124
shared	831	123
forward	832	123
goes	833	123
spinach	834	123
watching	835	123
thin	836	123
craving	837	123
owners	838	122
case	839	122
within	840	122
whatever	841	122
piece	842	122
prepared	843	122
ribs	844	122
bought	845	121
share	846	121
above	847	121
dirty	848	121
healthy	849	121
upon	850	120
lovely	851	120
value	852	120
playing	853	120
la	854	120
vegetarian	855	119
fabulous	856	119
pita	857	119
face	858	118
sports	859	118
finish	860	118
slightly	861	118
city	862	118
orders	863	117
girls	864	117
mix	865	117
lady	866	117
weeks	867	117
11	868	117
horrible	869	116
mine	870	116
100	871	116
box	872	116
roasted	873	115
bag	874	115
stuffed	875	115
total	876	114
talking	877	114
dogs	878	114
dr	879	114
literally	880	114
tuna	881	114
airport	882	114
floor	883	114
takes	884	114
fruit	885	113
hang	886	113
fair	887	113
filling	888	113
serving	889	113
corner	890	113
perhaps	891	113
book	892	113
spent	893	112
added	894	112
brunch	895	112
worst	896	112
tomatoes	897	111
month	898	111
fairly	899	111
middle	900	111
terrible	901	111
except	902	110
daughter	903	110
thinking	904	110
boyfriend	905	110
easily	906	110
25	907	110
works	908	110
simply	909	110
view	910	110
sign	911	110
vibe	912	109
split	913	109
somewhere	914	109
prefer	915	109
buffet	916	109
cash	917	109
crazy	918	109
received	919	109
weird	920	109
due	921	108
item	922	108
tons	923	108
seats	924	108
building	925	108
heat	926	108
kid	927	108
forget	928	108
word	929	107
immediately	930	107
sauces	931	107
finished	932	107
pulled	933	107
says	934	107
alone	935	107
games	936	107
orange	937	107
section	938	107
hear	939	106
beat	940	106
salty	941	106
attention	942	106
baked	943	106
art	944	105
shot	945	105
traditional	946	105
die	947	105
turkey	948	105
hummus	949	104
picked	950	104
taken	951	104
stayed	952	104
paying	953	104
honestly	954	104
seat	955	104
medium	956	103
mostly	957	103
b	958	103
paid	959	103
means	960	103
soda	961	103
treat	962	102
minute	963	102
pizzas	964	102
slice	965	101
lived	966	101
matter	967	101
personal	968	101
damn	969	101
sad	970	101
combo	971	101
crisp	972	100
certainly	973	100
east	974	100
seafood	975	100
visiting	976	100
north	977	99
mention	978	99
bars	979	99
tortilla	980	99
salt	981	99
vegan	982	99
baby	983	98
99	984	98
iced	985	98
guacamole	986	98
nearly	987	98
central	988	98
cook	989	98
margarita	990	98
american	991	98
mood	992	98
greeted	993	98
option	994	97
opinion	995	97
thick	996	97
yogurt	997	97
lamb	998	97
lack	999	97
lemon	1000	97
level	1001	97
basically	1002	97
sour	1003	96
worked	1004	96
carne	1005	96
sound	1006	96
suggest	1007	96
40	1008	96
nights	1009	95
mill	1010	95
joe	1011	95
touch	1012	95
folks	1013	95
reasonably	1014	95
solid	1015	95
plan	1016	95
drinking	1017	95
fix	1018	95
reading	1019	95
mushrooms	1020	95
rude	1021	94
rock	1022	94
asking	1023	94
fat	1024	94
seeing	1025	94
slices	1026	93
grocery	1027	93
visited	1028	93
rich	1029	93
brown	1030	93
eye	1031	93
rooms	1032	93
turned	1033	93
issue	1034	93
theater	1035	93
bruschetta	1036	92
lost	1037	92
smell	1038	92
creamy	1039	92
bean	1040	92
mediocre	1041	92
bunch	1042	92
using	1043	92
normally	1044	91
apparently	1045	91
honey	1046	91
sized	1047	91
professional	1048	91
chairs	1049	91
cookies	1050	91
overpriced	1051	91
young	1052	91
heavy	1053	90
stick	1054	90
pass	1055	90
cookie	1056	90
standard	1057	90
combination	1058	90
coupon	1059	90
seasoned	1060	90
happened	1061	90
poor	1062	90
locations	1063	90
difficult	1064	90
modern	1065	90
products	1066	89
surprise	1067	89
addition	1068	89
glasses	1069	89
opening	1070	89
mini	1071	89
classes	1072	89
spa	1073	89
running	1074	88
peanut	1075	88
chandler	1076	88
supposed	1077	88
appreciate	1078	88
hostess	1079	88
peppers	1080	88
class	1081	88
hell	1082	88
fancy	1083	88
paper	1084	87
helped	1085	87
favorites	1086	87
per	1087	87
ton	1088	87
flat	1089	87
bottom	1090	87
carry	1091	87
donuts	1092	87
usual	1093	86
original	1094	86
desserts	1095	86
gym	1096	86
heaven	1097	86
shoes	1098	86
topped	1099	86
strange	1100	86
kick	1101	86
son	1102	86
write	1103	86
children	1104	86
c	1105	85
ahead	1106	85
otherwise	1107	85
complaint	1108	85
pepper	1109	85
basil	1110	85
bathroom	1111	85
pancakes	1112	85
olive	1113	84
hole	1114	84
training	1115	84
fry	1116	84
limited	1117	84
knows	1118	84
meats	1119	84
chose	1120	84
sugar	1121	84
vietnamese	1122	83
dont	1123	83
sun	1124	83
rating	1125	83
quiet	1126	83
sale	1127	83
greek	1128	83
starbucks	1129	83
o	1130	82
awful	1131	82
living	1132	82
normal	1133	82
considering	1134	82
asada	1135	82
ranch	1136	82
particular	1137	82
margaritas	1138	82
pleased	1139	82
generous	1140	82
par	1141	82
met	1142	82
offers	1143	81
bun	1144	81
lobster	1145	81
included	1146	81
turn	1147	81
resort	1148	81
dollar	1149	81
indian	1150	81
outstanding	1151	81
conversation	1152	81
establishment	1153	81
sub	1154	81
ass	1155	81
cupcake	1156	81
deals	1157	80
vegetables	1158	80
coconut	1159	80
strong	1160	80
forgot	1161	80
juicy	1162	80
com	1163	80
plain	1164	80
sell	1165	80
straight	1166	80
mess	1167	80
loves	1168	80
milk	1169	80
vanilla	1170	79
classic	1171	79
boy	1172	79
checking	1173	79
admit	1174	79
move	1175	79
expecting	1176	79
hey	1177	79
generally	1178	79
air	1179	79
moist	1180	79
driving	1181	78
deep	1182	78
lounge	1183	78
interior	1184	78
chicago	1185	78
save	1186	78
complete	1187	78
somewhat	1188	78
patrons	1189	78
avocado	1190	78
gotten	1191	78
sense	1192	78
double	1193	78
tap	1194	78
monday	1195	77
showed	1196	77
cheaper	1197	77
p	1198	77
welcome	1199	77
chipotle	1200	77
odd	1201	77
co	1202	77
machine	1203	77
waffles	1204	77
west	1205	77
cupcakes	1206	77
questions	1207	77
hubby	1208	77
despite	1209	77
owned	1210	77
previous	1211	76
barely	1212	76
college	1213	76
nicely	1214	76
fit	1215	76
lucky	1216	76
product	1217	76
avoid	1218	76
obviously	1219	75
clothes	1220	75
known	1221	75
smaller	1222	75
leaving	1223	75
goodness	1224	75
country	1225	75
buffalo	1226	75
south	1227	75
drop	1228	75
meet	1229	75
road	1230	75
consistently	1231	75
checked	1232	75
rare	1233	75
pm	1234	75
walls	1235	75
girlfriend	1236	75
e	1237	75
weather	1238	75
worse	1239	74
similar	1240	74
covered	1241	74
become	1242	74
delivery	1243	74
gravy	1244	74
changed	1245	74
consider	1246	74
cozy	1247	74
agree	1248	74
bartenders	1249	74
groupon	1250	74
gross	1251	74
crap	1252	74
guests	1253	74
japanese	1254	73
missing	1255	73
none	1256	73
weekends	1257	73
update	1258	73
purchase	1259	73
mentioned	1260	73
tonight	1261	72
website	1262	72
closer	1263	72
mozzarella	1264	72
gem	1265	72
mushroom	1266	72
de	1267	72
gelato	1268	72
massage	1269	72
nearby	1270	72
fill	1271	72
moment	1272	72
daily	1273	72
hip	1274	72
frequent	1275	71
personally	1276	71
self	1277	71
god	1278	71
bell	1279	71
apple	1280	71
concept	1281	71
dollars	1282	71
duck	1283	71
support	1284	70
woman	1285	70
incredibly	1286	70
funny	1287	70
window	1288	70
bed	1289	70
types	1290	70
wide	1291	70
cooking	1292	70
themselves	1293	70
incredible	1294	70
setting	1295	70
delish	1296	69
future	1297	69
returned	1298	69
color	1299	69
recent	1300	69
clear	1301	69
books	1302	69
likely	1303	69
tortillas	1304	69
soggy	1305	69
lol	1306	69
45	1307	69
heart	1308	69
refreshing	1309	69
break	1310	69
anymore	1311	69
desk	1312	69
bonus	1313	69
mashed	1314	68
various	1315	68
realize	1316	68
online	1317	68
particularly	1318	68
cuisine	1319	68
mayo	1320	68
range	1321	68
spice	1322	68
knowledgeable	1323	68
imagine	1324	68
sliders	1325	68
bakery	1326	68
ten	1327	68
shredded	1328	68
positive	1329	68
notch	1330	68
fare	1331	68
clearly	1332	68
san	1333	68
convenient	1334	68
whether	1335	67
mesa	1336	67
rate	1337	67
rings	1338	67
crunchy	1339	67
compared	1340	67
pleasantly	1341	67
wines	1342	67
sample	1343	67
honest	1344	67
notice	1345	67
pop	1346	67
eyes	1347	67
wash	1348	67
important	1349	67
presentation	1350	67
venue	1351	67
dance	1352	67
speak	1353	67
banana	1354	66
round	1355	66
shit	1356	66
selections	1357	66
kinds	1358	66
chill	1359	66
chile	1360	66
smile	1361	66
cocktails	1362	66
noodle	1363	66
greens	1364	66
hold	1365	65
forever	1366	65
credit	1367	65
men	1368	65
organic	1369	65
possible	1370	65
station	1371	65
sister	1372	65
tuesday	1373	65
sick	1374	65
miles	1375	65
flight	1376	65
system	1377	65
environment	1378	65
24	1379	65
gluten	1380	65
waffle	1381	65
cover	1382	65
relaxing	1383	65
olives	1384	64
dad	1385	64
lighting	1386	64
efficient	1387	64
pre	1388	64
general	1389	64
pad	1390	64
trendy	1391	64
occasion	1392	64
six	1393	64
mother	1394	64
bigger	1395	64
chorizo	1396	64
expectations	1397	64
smoked	1398	64
laid	1399	64
bathrooms	1400	64
menus	1401	63
fire	1402	63
throughout	1403	63
overly	1404	63
areas	1405	63
min	1406	63
wrap	1407	63
band	1408	63
nails	1409	63
attitude	1410	62
gift	1411	62
management	1412	62
popular	1413	62
workers	1414	62
shops	1415	62
chopped	1416	62
basic	1417	62
actual	1418	62
typically	1419	62
asu	1420	62
boba	1421	62
95	1422	62
sucks	1423	62
hoping	1424	62
experienced	1425	62
cucumber	1426	62
satisfied	1427	62
bottles	1428	61
women	1429	61
feels	1430	61
dive	1431	61
omg	1432	61
texture	1433	61
parents	1434	61
gyro	1435	61
brisket	1436	61
st	1437	61
finding	1438	61
impressive	1439	61
broth	1440	61
camelback	1441	61
arrive	1442	61
reservation	1443	60
larger	1444	60
continue	1445	60
pot	1446	60
wanting	1447	60
figured	1448	60
cocktail	1449	60
annoying	1450	60
consistent	1451	60
happen	1452	60
strawberry	1453	60
brand	1454	60
negative	1455	60
certain	1456	60
health	1457	60
scene	1458	60
calamari	1459	60
lights	1460	60
appointment	1461	59
sake	1462	59
aside	1463	59
paradise	1464	59
burritos	1465	59
staying	1466	59
standing	1467	59
juice	1468	59
willing	1469	59
ridiculous	1470	59
ride	1471	59
sales	1472	59
enchiladas	1473	59
tough	1474	59
key	1475	59
words	1476	59
pesto	1477	59
surprisingly	1478	59
biggest	1479	59
whenever	1480	59
bringing	1481	58
delivered	1482	58
garden	1483	58
beyond	1484	58
wonder	1485	58
ham	1486	58
rib	1487	58
perfection	1488	58
shows	1489	58
figure	1490	58
issues	1491	58
awhile	1492	58
alcohol	1493	58
welcoming	1494	58
mistake	1495	58
pricing	1496	58
complain	1497	58
valet	1498	57
elsewhere	1499	57
60	1500	57
mile	1501	57
creme	1502	57
produce	1503	57
higher	1504	57
tofu	1505	57
inexpensive	1506	57
dead	1507	57
disappointment	1508	57
plastic	1509	57
returning	1510	57
california	1511	57
spots	1512	57
yesterday	1513	57
upscale	1514	57
gives	1515	57
specialty	1516	57
bf	1517	57
dim	1518	56
martini	1519	56
chip	1520	56
passed	1521	56
alright	1522	56
sent	1523	56
hanging	1524	56
lines	1525	56
step	1526	56
mango	1527	56
version	1528	56
decide	1529	56
soy	1530	56
complaints	1531	56
13	1532	55
espresso	1533	55
pudding	1534	55
booths	1535	55
english	1536	55
leftovers	1537	55
raw	1538	55
spectacular	1539	55
giant	1540	55
dozen	1541	55
employee	1542	55
ave	1543	55
nachos	1544	55
meh	1545	55
private	1546	55
freshly	1547	55
ladies	1548	55
disappointing	1549	55
fall	1550	54
ground	1551	54
velvet	1552	54
multiple	1553	54
everywhere	1554	54
complimentary	1555	54
beverage	1556	54
state	1557	54
bagel	1558	54
placed	1559	54
meeting	1560	54
deli	1561	54
blah	1562	54
salon	1563	54
explained	1564	53
doors	1565	53
difference	1566	53
serious	1567	53
luckily	1568	53
trust	1569	53
artichoke	1570	53
darn	1571	53
mint	1572	53
fashion	1573	53
thru	1574	53
gas	1575	53
throw	1576	53
screen	1577	53
sliced	1578	53
serves	1579	53
ny	1580	53
suggested	1581	53
lemonade	1582	53
overcooked	1583	53
rail	1584	53
moving	1585	53
polite	1586	53
cause	1587	53
candy	1588	53
tour	1589	53
distance	1590	52
onto	1591	52
york	1592	52
creative	1593	52
melted	1594	52
lacking	1595	52
rush	1596	52
extensive	1597	52
movies	1598	52
wrapped	1599	52
cleaning	1600	52
coke	1601	52
body	1602	52
sounds	1603	52
purchased	1604	52
scallops	1605	52
wearing	1606	52
remembered	1607	52
post	1608	52
sold	1609	51
pineapple	1610	51
pair	1611	51
include	1612	51
comfy	1613	51
cakes	1614	51
bianco	1615	51
department	1616	51
experiences	1617	51
earlier	1618	51
gourmet	1619	51
ball	1620	51
answer	1621	51
catch	1622	51
reminds	1623	51
caramel	1624	51
charged	1625	51
dress	1626	51
travel	1627	51
tired	1628	51
hopefully	1629	50
hadn	1630	50
affordable	1631	50
superb	1632	50
ya	1633	50
luck	1634	50
wednesday	1635	50
platter	1636	50
leaves	1637	50
reminded	1638	50
third	1639	50
discount	1640	50
wants	1641	50
stuck	1642	50
anyways	1643	50
goat	1644	50
l	1645	49
wedding	1646	49
pictures	1647	49
bags	1648	49
mountain	1649	49
unlike	1650	49
buying	1651	49
spices	1652	49
clothing	1653	49
explain	1654	49
describe	1655	49
windows	1656	49
compare	1657	49
question	1658	49
yelpers	1659	49
appreciated	1660	49
yellow	1661	49
mustard	1662	49
oven	1663	49
accommodating	1664	49
hash	1665	49
sum	1666	49
picky	1667	49
design	1668	49
uncomfortable	1669	48
stomach	1670	48
provided	1671	48
hello	1672	48
points	1673	48
opted	1674	48
safe	1675	48
decision	1676	48
feet	1677	48
sprouts	1678	48
skip	1679	48
golden	1680	48
older	1681	48
disgusting	1682	48
dj	1683	48
played	1684	48
recommendation	1685	48
process	1686	48
send	1687	47
treated	1688	47
irish	1689	47
gotta	1690	47
vodka	1691	47
cheesecake	1692	47
enjoying	1693	47
flavored	1694	47
story	1695	47
18	1696	47
ambience	1697	47
toasted	1698	47
major	1699	47
stadium	1700	47
situation	1701	47
prompt	1702	47
besides	1703	47
register	1704	47
sadly	1705	47
fell	1706	47
dipping	1707	47
f	1708	47
express	1709	47
cant	1710	47
lime	1711	47
famous	1712	47
filet	1713	47
carrots	1714	47
dine	1715	47
thursday	1716	47
j	1717	47
reservations	1718	46
package	1719	46
pub	1720	46
pink	1721	46
omelet	1722	46
changes	1723	46
cups	1724	46
realized	1725	46
apart	1726	46
pull	1727	46
team	1728	46
waste	1729	46
includes	1730	46
rocks	1731	46
cheesy	1732	46
possibly	1733	46
host	1734	46
booth	1735	46
sangria	1736	46
drove	1737	46
fully	1738	46
texas	1739	46
burnt	1740	46
dropped	1741	46
prior	1742	45
diner	1743	45
k	1744	45
hidden	1745	45
vegetable	1746	45
eggplant	1747	45
phx	1748	45
cents	1749	45
prime	1750	45
cheddar	1751	45
putting	1752	45
facility	1753	45
library	1754	45
lo	1755	45
provide	1756	45
bites	1757	45
child	1758	45
example	1759	45
basis	1760	45
everyday	1761	45
quaint	1762	45
random	1763	45
shape	1764	45
miso	1765	45
cashier	1766	45
farm	1767	44
likes	1768	44
pasty	1769	44
thats	1770	44
bomb	1771	44
ahi	1772	44
slaw	1773	44
somehow	1774	44
wood	1775	44
lobby	1776	44
equally	1777	44
score	1778	44
businesses	1779	44
heck	1780	44
relax	1781	44
snack	1782	44
pickles	1783	44
grease	1784	44
below	1785	44
knowing	1786	44
hike	1787	44
los	1788	44
spending	1789	44
against	1790	44
season	1791	44
romantic	1792	44
gorgeous	1793	44
neat	1794	44
headed	1795	44
keeps	1796	44
picture	1797	44
14	1798	44
furniture	1799	44
peaks	1800	44
breast	1801	44
tempura	1802	44
advice	1803	44
deliver	1804	44
subway	1805	44
needless	1806	44
www	1807	44
gonna	1808	44
frosting	1809	44
discovered	1810	43
offerings	1811	43
excuse	1812	43
groups	1813	43
visits	1814	43
absolute	1815	43
ran	1816	43
peak	1817	43
trail	1818	43
learn	1819	43
app	1820	43
brownie	1821	43
patient	1822	43
smoke	1823	43
exceptional	1824	43
enjoyable	1825	43
golf	1826	43
courses	1827	43
cars	1828	43
dough	1829	43
crave	1830	43
starting	1831	43
al	1832	43
tvs	1833	43
photos	1834	43
information	1835	43
